config,streams,trial,duration_s,bytes,bits_per_second,retransmits,cpu_sender_pct,cpu_receiver_pct
wg_tag_only,16,5,10.00,10565451776,8450855478,12759,13.87,176.39
wg_tag_only,16,6,10.00,10571087872,8455355098,12848,14.02,177.64
wg_tag_only,16,7,10.00,10536878080,8427909589,13070,9.70,177.62
wg_tag_only,16,8,10.00,10556538880,8443775397,14078,9.52,178.80
wg_tag_only,16,9,10.00,10574364672,8457958310,10454,13.82,179.11
wg_tag_only,16,10,10.00,10558767104,8445565269,15082,11.12,176.96
wg_enforce_nocache,16,1,10.00,10342760448,8273184138,13409,13.42,175.48
wg_enforce_nocache,16,2,10.00,10345775104,8275823121,11326,10.75,175.63
wg_enforce_nocache,16,3,10.00,10373431296,8297250702,14402,10.74,174.33
wg_enforce_nocache,16,4,10.00,10394140672,8313786126,14072,12.13,170.99
wg_enforce_nocache,16,5,10.00,10552737792,8440648971,16391,11.01,165.33
wg_enforce_nocache,16,6,10.00,10361896960,8288006664,13541,10.75,172.84
wg_enforce_nocache,16,7,10.00,10392698880,8312721834,12172,10.95,175.03
wg_enforce_nocache,16,8,10.00,10324148224,8257812354,14336,10.79,176.18
wg_enforce_nocache,16,9,10.00,10307633152,8244656287,11452,16.16,176.38
wg_enforce_nocache,16,10,10.00,10343022592,8272889244,12276,13.33,176.10
wg_enforce_cache,16,1,10.00,10314842112,8250568450,13801,9.37,168.66
wg_enforce_cache,16,2,10.00,10293739520,8233553214,12694,11.56,173.74
wg_enforce_cache,16,3,10.00,10329784320,8262361713,13647,12.01,172.01
wg_enforce_cache,16,4,10.00,10539630592,8430070726,14082,13.77,164.43
wg_enforce_cache,16,5,10.00,10316546048,8251773799,13632,13.47,172.80
wg_enforce_cache,16,6,10.00,10307764224,8244747936,14049,10.81,173.06
wg_enforce_cache,16,7,10.00,10308157440,8245000627,12793,12.09,172.36
wg_enforce_cache,16,8,10.00,10328342528,8261039163,14440,8.43,175.09
wg_enforce_cache,16,9,10.00,10255073280,8203082457,10784,10.72,174.08
wg_enforce_cache,16,10,10.00,10270408704,8214846648,13382,12.19,174.95
